Date,League,Team,Opponent,Result,G,A,TP,PIM,+/-,SOG,PPG,SHG,TOI
2022-05-26T20:20:00+0300,WC,Slovakia,@ Finland,L 2-4,0,0,0,0,-1,4,0,0,20:22
2022-05-24T16:20:00+0300,WC,Slovakia,vs Denmark,W 7-1,1,1,2,0,3,6,0,0,19:58
2022-05-21T20:20:00+0300,WC,Slovakia,@ Italy,W 3-1,0,2,2,2,2,2,0,0,21:57
2022-05-20T20:20:00+0300,WC,Slovakia,@ Kazakhstan,W 4-3,1,1,2,0,0,4,0,0,23:14
2022-05-18T20:20:00+0300,WC,Slovakia,@ Switzerland,L 3-5,1,0,1,0,-1,3,0,0,19:44
2022-05-16T16:20:00+0300,WC,Slovakia,vs Canada,L 1-5,0,0,0,0,-2,5,0,0,17:41
2022-05-14T20:20:00+0300,WC,Slovakia,vs Germany,L 1-2,0,0,0,0,-1,0,0,0,20:25
2022-05-13T16:20:00+0300,WC,Slovakia,@ France,W 4-2,0,2,2,0,1,3,0,0,20:56
2022-04-28T18:30:00+0300,Liiga,TPS,@ Tappara,L 0-1,0,0,0,0,0,2,0,0,11:01
2022-04-26T18:30:00+0300,Liiga,TPS,vs Tappara,W 1-0,0,0,0,0,0,1,0,0,16:18
2022-04-25T18:30:00+0300,Liiga,TPS,@ Tappara,L 1-3,0,1,1,0,0,6,0,0,16:05
2022-04-23T17:00:00+0300,Liiga,TPS,vs Tappara,L 1-2 (OT 62:41),0,0,0,0,-1,3,0,0,16:24
2022-04-20T18:30:00+0300,Liiga,TPS,@ Tappara,L 1-2,1,0,1,0,0,1,1,0,18:21
2022-04-16T18:30:00+0300,Liiga,TPS,vs Ilves,W 2-1,0,0,0,0,0,0,0,0,11:58
2022-04-15T18:30:00+0300,Liiga,TPS,@ Ilves,L 0-3,0,0,0,0,-1,3,0,0,16:56
2022-04-13T18:30:00+0300,Liiga,TPS,vs Ilves,W 3-0,0,0,0,0,0,1,0,0,14:10
2022-04-12T18:30:00+0300,Liiga,TPS,@ Ilves,W 3-2 (OT 66:56),0,1,1,0,2,3,0,0,16:44
2022-04-10T18:30:00+0300,Liiga,TPS,vs Ilves,W 6-0,0,0,0,0,0,1,0,0,16:35
2022-04-09T17:00:00+0300,Liiga,TPS,@ Ilves,L 2-3,0,0,0,2,0,5,0,0,19:20
2022-04-06T18:30:00+0300,Liiga,TPS,vs HIFK,W 3-1,0,0,0,0,-1,2,0,0,13:26
2022-04-05T18:30:00+0300,Liiga,TPS,@ HIFK,L 2-3,0,0,0,0,-1,2,0,0,12:48
2022-04-03T18:30:00+0300,Liiga,TPS,vs HIFK,W 2-1,0,0,0,2,0,1,0,0,13:00
2022-04-02T17:00:00+0300,Liiga,TPS,@ HIFK,W 7-5,0,1,1,0,1,4,0,0,14:49
2022-03-31T18:30:00+0300,Liiga,TPS,vs HIFK,L 3-4 (OT 70:32),0,0,0,2,0,5,0,0,20:03
2022-03-29T18:30:00+0300,Liiga,TPS,@ HIFK,L 3-4 (OT 63:55),1,1,2,0,1,2,1,0,16:16
2022-03-27T17:00:00+0300,Liiga,TPS,vs HIFK,W 2-0,0,1,1,2,1,4,0,0,14:06
2022-03-22T17:30:00+0100,Liiga,TPS,@ SaiPa,W 5-0,0,0,0,0,1,1,0,0,15:40
2022-03-20T15:00:00+0100,Liiga,TPS,vs Kärpät,W 3-2 (OT 62:29),1,0,1,0,0,6,1,0,17:50
2022-03-16T17:30:00+0100,Liiga,TPS,@ Jukurit,W 3-1,1,0,1,2,1,1,0,0,15:28
2022-03-15T17:30:00+0100,Liiga,TPS,@ KalPa,W 5-2,1,0,1,0,-1,7,0,0,16:04
2022-03-12T16:00:00+0100,Liiga,TPS,@ Lukko,W 4-2,1,0,1,0,-1,3,0,0,15:23
2022-03-11T17:30:00+0100,Liiga,TPS,vs Pelicans,L 1-4,0,0,0,0,0,3,0,0,16:47
2022-03-09T17:30:00+0100,Liiga,TPS,vs JYP,W 4-3 (SO 1-0),0,2,2,0,1,4,0,0,18:29
2022-03-05T16:00:00+0100,Liiga,TPS,vs Tappara,L 2-4,0,0,0,0,0,3,0,0,14:11
2022-03-04T17:30:00+0100,Liiga,TPS,@ HPK,W 3-2,0,0,0,0,0,2,0,0,15:25
2022-03-02T17:30:00+0100,Liiga,TPS,vs JYP,L 1-4,0,0,0,0,0,6,0,0,18:38
2022-02-19T20:10:00+0700,OG,Slovakia,@ Sweden,W 4-0,2,0,2,0,2,6,0,0,17:17
2022-02-18T11:10:00+0700,OG,Slovakia,@ Finland,L 0-2,0,0,0,0,-2,3,0,0,20:03
2022-02-16T11:10:00+0700,OG,Slovakia,@ USA,W 3-2 (SO 1-0),1,0,1,0,2,3,0,0,17:57
2022-02-15T11:10:00+0700,OG,Slovakia,vs Germany,W 4-0,0,0,0,0,0,2,0,0,15:16
2022-02-13T11:10:00+0700,OG,Slovakia,vs Latvia,W 5-2,1,0,1,0,0,3,0,0,13:47
2022-02-11T15:40:00+0700,OG,Slovakia,@ Sweden,L 1-4,1,0,1,0,1,5,0,0,13:39
2022-02-10T15:40:00+0700,OG,Slovakia,@ Finland,L 2-6,2,0,2,0,2,2,0,0,12:57
2022-01-22T14:00:00+0100,Liiga,TPS,@ Kärpät,L 4-5,0,0,0,25,0,2,0,0,6:02
